strategy,budget_pct,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Entropy Sampling,0.2,0.94398,0.002125464655081355,0.9663,0.0006811754546370691,0.022320000000000007,2.364456874086316,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.2,0.94398,0.002125464655081355,0.96778,0.0006881860213634279,0.023799999999999932,2.521239856776619,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.2,0.94398,0.002125464655081355,0.9677000000000001,0.0007924645102463519,0.023720000000000074,2.5127651009555363,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.4,0.95434,0.000854634424768851,0.96678,0.0006177378084592167,0.012440000000000007,1.3035186621120363,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.4,0.95434,0.000854634424768851,0.9676600000000001,0.0006374950980203615,0.01332000000000011,1.3957289854768855,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.4,0.95434,0.000854634424768851,0.9679800000000001,0.0006852736679604826,0.013640000000000096,1.4292600121550072,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.6,0.96038,0.0013302631318652816,0.9660399999999999,0.00053888774341229,0.005659999999999887,0.5893500489389499,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.6,0.96038,0.0013302631318652816,0.96728,0.00039698866482559413,0.006900000000000017,0.7184656073637536,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.6,0.96038,0.0013302631318652816,0.96678,0.00045782092569037614,0.006399999999999961,0.6664028821924615,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.8,0.9633,0.0005621387729021893,0.9663200000000002,0.0006079473661427969,0.0030200000000001337,0.3135056576352262,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.8,0.9633,0.0005621387729021893,0.9667600000000001,0.0003666060555964269,0.0034600000000000186,0.3591819786151789,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.8,0.9633,0.0005621387729021893,0.96614,0.00044988887516807854,0.0028399999999999537,0.29481988996158554,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,1.0,0.9662,0.0002097617696340601,0.96638,0.00023151673805581546,0.000180000000000069,0.018629683295391122,12.0,0.25,0.44,medium,5,1.0,False
Margin Sampling,1.0,0.9662,0.0002097617696340601,0.9672000000000001,8.94427191000314e-05,0.001000000000000112,0.10349824052992258,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,1.0,0.9662,0.0002097617696340601,0.96662,0.0003249615361854026,0.00042000000000008697,0.04346926102257162,12.0,0.15625,0.6,large,5,1.0,False
